v4_1,Data Marking,calendar-years,time,health-board,geography,week-number,week,cause-of-death,causeofdeath,place-of-death,placeofdeath,registration-or-occurrence,registrationoroccurrence
42,,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,all-causes,All causes,care-home,Care home,registrations,Registrations
3,,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
38,,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,all-causes,All causes,home,Home,registrations,Registrations
6,,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,all-causes,All causes,hospice,Hospice,registrations,Registrations
124,,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,all-causes,All causes,hospital,Hospital,registrations,Registrations
0,,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,covid-19,COVID 19,home,Home,registrations,Registrations
0,,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,,2020,2020,W11000023,Betsi Cadwaladr University Health Board,week-1,Week 01,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
10,,2020,2020,W11000024,Powys Teaching Health Board,week-1,Week 01,all-causes,All causes,care-home,Care home,registrations,Registrations
0,,2020,2020,W11000024,Powys Teaching Health Board,week-1,Week 01,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
5,,2020,2020,W11000024,Powys Teaching Health Board,week-1,Week 01,all-causes,All causes,home,Home,registrations,Registrations
2,,2020,2020,W11000024,Powys Teaching Health Board,week-1,Week 01,all-causes,All causes,hospice,Hospice,registrations,Registrations
15,,2020,2020,W11000024,Powys Teaching Health Board,week-1,Week 01,all-causes,All causes,hospital,Hospital,registrations,Registrations
0,,2020,2020,W11000024,Powys Teaching Health Board,week-1,Week 01,all-causes,All causes,other-communal-establishment,Other communal establishment,registrations,Registrations
0,,2020,2020,W11000024,Powys Teaching Health Board,week-1,Week 01,covid-19,COVID 19,care-home,Care home,registrations,Registrations
0,,2020,2020,W11000024,Powys Teaching Health Board,week-1,Week 01,covid-19,COVID 19,elsewhere,Elsewhere,registrations,Registrations
0,,2020,2020,W11000024,Powys Teaching Health Board,week-1,Week 01,covid-19,COVID 19,home,Home,registrations,Registrations
0,,2020,2020,W11000024,Powys Teaching Health Board,week-1,Week 01,covid-19,COVID 19,hospice,Hospice,registrations,Registrations
0,,2020,2020,W11000024,Powys Teaching Health Board,week-1,Week 01,covid-19,COVID 19,hospital,Hospital,registrations,Registrations
0,,2020,2020,W11000024,Powys Teaching Health Board,week-1,Week 01,covid-19,COVID 19,other-communal-establishment,Other communal establishment,registrations,Registrations
21,,2020,2020,W11000025,Hywel Dda University Health Board,week-1,Week 01,all-causes,All causes,care-home,Care home,registrations,Registrations
2,,2020,2020,W11000025,Hywel Dda University Health Board,week-1,Week 01,all-causes,All causes,elsewhere,Elsewhere,registrations,Registrations
